Term,Definition,Category,Notes
Futures Contract,"A standardized legal agreement to buy or sell a specific quantity of a commodity at a predetermined price on a specified future date.","Financial Instrument","Traded on exchanges like CME; used for hedging or speculation in commodities."
Options on Futures,"Contracts that give the buyer the right, but not the obligation, to buy or sell a commodity futures contract at a specified price before a certain date.","Financial Instrument","Combines features of options and futures on commodities."
Underlying Commodity,"The physical commodity upon which a futures or options contract is based.","Contract Specification","Includes commodities like crude oil, gold, corn, and natural gas."
Contract Size,"The standardized amount of the underlying commodity covered by the futures contract.","Contract Specification","Varies by commodity; e.g., one gold futures contract represents 100 troy ounces of gold."
Delivery Date,"The date on which the underlying commodity must be delivered or settled.","Contract Specification","Also known as the expiration date."
Physical Delivery,"Settlement method where the actual commodity is delivered upon contract expiration.","Settlement Method","Common in commodities futures; delivery specifications are detailed in the contract."
Cash Settlement,"Settlement method where the difference between the contract price and the market price is paid in cash.","Settlement Method","Used when physical delivery is impractical; common in index futures."
Tick Size,"The minimum price movement of a futures contract.","Trading Specification","Defines the smallest increment by which the commodity's price can change."
Price Quotation,"The manner in which the price of the futures contract is quoted.","Trading Specification","Varies by commodity; for example, crude oil futures are quoted in dollars per barrel."
Minimum Price Fluctuation,"The smallest amount by which the price of a futures contract can move.","Trading Specification","Same as tick size; crucial for pricing strategies."
Contract Months,"The specific months in which a futures contract expires.","Contract Specification","Listed by the exchange; often aligned with harvest or production cycles for agricultural commodities."
Trading Hours,"The specific times during which a futures contract can be traded on the exchange.","Trading Specification","Includes electronic trading via CME Globex and open-outcry sessions."
Last Trading Day,"The final day on which a futures contract can be traded before expiration.","Contract Specification","After this date, positions must be settled."
Settlement Procedures,"The method by which a futures contract is settled at expiration.","Contract Specification","Detailed by the exchange; includes delivery points and quality specifications for commodities."
Margin Requirements,"Funds that must be deposited to open and maintain a futures position.","Risk Management","Includes initial margin and maintenance margin; essential for leverage control."
Initial Margin,"The upfront deposit required to enter into a futures contract.","Risk Management","Acts as a performance bond to ensure contract fulfillment."
Maintenance Margin,"The minimum account balance that must be maintained after entering a futures position.","Risk Management","If the account falls below this, a margin call occurs."
Margin Call,"A demand by a broker to deposit additional funds to bring the margin account back to the required level.","Risk Management","Occurs when the account value falls below maintenance margin."
Mark-to-Market,"The daily settling of gains and losses due to changes in the market value of the futures contract.","Accounting Practice","Ensures that unrealized gains and losses are accounted for daily."
Daily Price Limits,"The maximum price range permitted for a futures contract in a trading session.","Trading Controls","Prevents excessive volatility in commodity prices."
Position Limits,"The maximum number of futures contracts that a trader can hold at one time.","Regulatory Term","Set by exchanges and regulatory bodies to prevent market manipulation."
Hedging,"Using futures contracts to reduce the risk of adverse price movements in a commodity.","Risk Management","Common practice for producers and consumers of commodities."
Speculation,"Trading futures contracts with the aim of profiting from price movements in commodities.","Trading Strategy","Speculators provide liquidity to the markets."
