Business Friendly Name,Description,Original Field Name
Accrued Funding Factor,"The value representing accrued funding for a specific instrument on a given business date, precise to seven decimal places.",
Business Date,The date when the funding values apply for a specific instrument or financial event.,
Daily Funding Contribution,"The daily addition to the total accrued funding value, shown to seven decimal places.",
Days to Maturity,"The number of days remaining until the maturity date of the instrument, counted from the current settlement date.",
Financing Days Count,The number of calendar days between the current business day and the final settlement date of the instrument.,
Funding Status,Indicates whether the provided funding values for a specific date are preliminary or final.,
Interest Rate,The interest rate applicable to the instrument for the specific business date.,
Interest Rate Index,The underlying index on which the interest rate of the instrument is based.,
All or None Indicator,Identifies whether the instrument operates under an 'All or None' condition for trading.,
Allocation Deadline,"The cutoff time for allocation decisions for specific instruments, such as LCH German Special products.",
Asset Class,"The general category or class of underlying assets for the financial product (e.g., equities, bonds).",
Asset Sector,"The specific sector associated with a product, applicable especially for combo or synthetic products.",
Asset Sub-Class,"A more granular classification within the asset class, such as credit or foreign exchange.",
Assignment Method,"The method used for assigning futures upon the delivery of options, typically either Random or Pro-Rata.",
Base Index Name,The name of the underlying index used for pricing or benchmarking the product.,
Block Trade Eligibility,Specifies whether a product is eligible for block trading.,
ClearPort Eligibility,Indicates whether the product can be traded via the CME ClearPort system.,
Notional Amount,The total nominal or face amount of the contract for financial products like futures or options.,
Contract Period,"The period of the contract, typically expressed in monthly or quarterly formats.",
Coupon Frequency,Describes how often coupon payments occur for a bond or loan.,
Coupon Rate,The fixed interest rate at which periodic payments are made for a bond or loan.,
CUSIP Identifier,"A unique identifier used for US and Canadian securities, helpful for identifying specific financial instruments.",
Debt Maturity Date,"The date on which a debt security, such as a bond, reaches maturity and the principal is repaid.",
Exercise Method,Specifies the method by which options can be exercised.,
Final Settlement Date,The final date on which a financial product is settled.,
Instrument Name,The human-readable name used to describe the financial instrument.,
ISIN Identifier,The International Securities Identification Number used for identifying securities across international markets.,
Issuer Country,"The country in which the issuer of the financial instrument is domiciled, typically represented by a two-character ISO code.",
Last Trade Date,The last possible date that the instrument can be traded across all venues.,
Market Identifier Code (MIC),"A unique code that identifies exchanges where financial products are traded, often used for reporting.",
Coupon Type,"Describes the type of interest payment for the instrument, such as fixed or variable.",
Dated Date,"The date at which interest begins to accrue, typically aligning with the issue date.",
Debt Security Maturity Date,The final date when the debt security reaches maturity and repayment of the principal is made.,
Derived Block Trade Eligibility,Indicates if the product is eligible for block trading on derived instruments.,
Dirty Price Tick,"Specifies the tick value used for dirty price, which includes accrued interest.",
Dynamic Option Series Indicator,Indicates if the option series supports dynamic strike creation.,
Exchange Identifier,A unique identifier for the exchange on which the product is traded.,
Exercise Style,"Specifies the style of options exercise, such as European or American.",
First Coupon Date,The date of the first coupon payment for a debt instrument.,
First Delivery Date,"The first date a product can be delivered, particularly for physically settled instruments.",
First Notice Date,The first date when users will be notified of delivery assignment for an instrument.,
First Position Date,The first date on which a position can be held for deliverable contracts.,
First Trade Date,The first date that an instrument is tradable.,
Financial Instrument Short Name,"A short name for the financial instrument, typically used for regulatory reporting.",
Fixing Source,"The source of the fixing rate, such as WM Reuters or Bloomberg BFIX.",
Fixing Time Zone,The time zone associated with the fixing rate source.,
Floating Rate Offset,"The floating rate offset applied to a reference rate, such as the US T-Bill.",
Floor Eligibility Indicator,Indicates whether the product is eligible for floor trading.,
GC Basket Identifier,The unique identifier for a basket of collateral in the GC Repo market.,
Globex Eligibility Indicator,Specifies whether the product is eligible for trading on the Globex platform.,
Interest Payment Convention,"The convention used to calculate interest payments, such as ACT/360 or 30/360.",
Last Delivery Date,The last possible date for delivery of the underlying product.,
Market Segment ID,The market segment on which the product is traded on the Globex platform.,
Mass Quote Eligibility,Indicates whether the product is eligible for mass quoting on the Globex platform.,
Minimum Order Quantity,The minimum quantity required for an order.,
Notional Amount Per Contract,The notional amount represented by one contract.,
Option Strike Price,The strike price for an option contract.,
Position Removal Date,The final date when a position must be removed for deliverable contracts.,
Settlement Date,The final date on which settlement occurs for a financial instrument.,
Strike Price Currency,The currency in which the option strike price is denominated.,
Trading Cut-off Time,The final time when trading can occur for a product.,
Zero Price Eligibility Indicator,Indicates whether an instrument is eligible to trade at a price of zero.,
Workup Private Timer,The duration in seconds for the private phase of a workup session.,
Workup Public Timer,The duration in seconds for the public phase of a workup session.,
Workup Public Timer Extension,"The extension duration for the public phase of a workup, if needed.",
Variable Tick Index,An indicator used to specify the variable tick table for pricing.,
Variable Quantity Indicator,Indicates if the product is subject to variable quantity processing.,
Valuation Method,"The type of valuation method applied, such as futures style or premium style.",
Unit of Measure,"The unit of measure for the product, such as barrels or tons.",
Transaction Size Multiplier,Multiplier used for calculating the transaction size.,
Trade Tick,Specifies the tick used for trading the instrument's price.,
Total Notional Amount Per Contract,The total notional value per contract for the product.,
Termination Date,The date on which the options series terminates.,
Swap Start Date,The start date of a swap contract.,
Strike Price Interval,The interval between option strike prices.,
Settlement Method,Specifies whether the product settles financially or physically.,
